tree_id,tweet_id,user_id,text,retweet_count,favorite_count
0_0,265953285247209472,39364684,deep-fried left wings demo-crab cakes barack-amole amp ; chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake,205,171
0_1,265953577145614336,38251731,most epic menu of life,0,0
0_2,265953587149021185,22369434,very creative 👏,0,0
0_3,265953639959506944,98928660,that's so cute .,0,0
0_4,265953666140352512,198560275,hahaha . sloppy joe bidens . too funny .,0,0
0_5,265953671479693312,26403535,what ? ? ? no sasha-ges ?,0,0
0_6,265953816673923073,67360574,i want to go to chrissy's party !,0,0
0_7,265953820989878274,135699771,dedication,0,0
0_8,265953934613544960,436192286,romney ritas,0,0
0_9,265953980927057921,248884441,i see what you did there !,0,0
0_10,265954108358414337,26506340,you ’ re a beautiful soul and a witty genius to boot ! john is a lucky man .,0,0
0_11,265954140302213121,587769947,fedex some 2 me in fl thanks,0,0
0_12,265954195352473600,24921845,<url> election party food courtesy of hivote,0,0
0_13,265954722878459904,134328376,creative election day menu ! sounds delicious !,0,0
0_14,265954876075421696,28134109,love it ! !,0,0
0_15,265954946707517440,28834672,your making me hungry...u need to be on dan patricks show more often when you're in nyc,0,0
0_16,265955350996459520,233022924,hanging chadian desserts,0,0
0_17,265955609944420353,24691687,be there in 10 !,0,0
0_18,265955715540217856,901934072,how about benghazi cover up side down cake ?,0,0
0_19,265955859291582464,80378042,what about disappoint-mint tea for when he loses ?,0,0
0_20,265956738635804673,20441374,love it .,0,0
0_21,265956821234229249,362262552,obamacare-rot cake rt the rot cake doesn't sound appetizing.. .,0,0
0_22,265956960040517632,615115202,didn't think you model types ate anything but saltines amp ; coffee : - ),0,0
0_23,265957138009059328,562611619,"drools on ballot , forgets to cast vote : (",0,0
0_24,265957280384679939,623878516,good stuff teigen . good luck tonight . you're my fav person on twitter . hilarious and consistently right .,0,0
0_25,265957308264239105,196338420,sounds like a party ! !,0,0
0_26,265957600154230784,80387505,i totally want to come to this party .,0,0
0_27,265958565422960640,13733192,smooth . like butter .,0,0
0_28,265958958051766273,18827843,that's amazing !,0,0
0_29,265958995569815552,124617500,i'm in love with you .,0,0
0_30,265962333476634624,73803070,unbelievable ! ! ! congrats...go obama !,0,0
0_31,265962554965254144,573001997,sounds delicious !,0,0
0_32,265963504966701056,497922016,you are asking for it . i can't help you anymore,0,0
0_33,265963866368901120,217453262,riot punch for when obama loses ?,0,0
0_34,265964505954140161,207640410,bad menu,0,0
0_35,265981985623781376,536535535,missing your kenyan rings ( gotta give your right wings something ) ; ) great menu chrissy !,0,0
0_36,265983931772461056,20250903,lol sloppy joe bidens are perfect,0,0
0_37,265988969819418625,447708889,i'm not even pro-obama and i enjoy this,0,0
0_38,265992542145896448,334965546,"hysterical , amaze , except i feel like i lost my innocence when i read the name sloppy joe biden",0,0
0_39,265994819518726145,399140986,you're awesome lol,0,0
0_40,265995748720660480,22225606,steamed barackoli,0,0
1_0,273182568298450945,14075928,42 million dead in bloodiest black friday weekend on record <url>,343,87
1_1,273183360149491712,198927502,"two minute silence to commemorate their passing . 1 .. 2 .. 3 .. ooh , sparkly things dances off to play with music",0,0
1_2,273184507073527808,28634436,"my heart , head , brain . lungs goes to the families of 42 million who'd perish .",0,0
1_3,273185394944794625,822368798,i was one of those hurt ! i just came home from hospital .,0,0
1_4,273186640015544320,376427402,"now that is real darwinism , rt 42 mil dead in bloodiest black friday weekend on record <url>",0,0
1_5,273220001492762624,538417111,"oh , if only .",0,0
1_6,273224999287025664,129145854,is this story true or faking news ? ?,0,0
1_7,273470833022865408,631634039,None,0,0
2_0,273278761909239808,14075928,42 million dead in bloodiest black friday weekend on record <url>,388,83
2_1,273278927806545921,30180648,why you no tweet story once ?,0,0
2_2,273280008817102850,22985380,"okay , where was . i'm sure he hit one or two women !",0,0
2_3,273280333229723648,346378559,this is like a genocide for some cheap tv's,0,0
3_0,295152287901417472,20003448,prayforchristopher 5k run .. well we are walking lol <url>,92,65
3_1,295152495146184704,598415412,caitlin hi please follow me ? i love u so much and i love you're brother you're perfect and beautiful lt ; 33,0,0
3_2,295152556894724096,1098764088,"hi , i love u , follow me please ?",0,0
3_3,295152594236633088,577284644,hi caitlin ! how are u ? : ),0,0
3_4,295152636108357632,196410114,love you,0,0
3_5,295152714818654208,336522694,follow me cailtlin ? i love u so muchhhh,0,0
3_6,295153106839289857,1120263589,you ran away ? ?,0,0
3_7,295153339757367296,404771276,hi please follow me ! i love you diva,0,0
3_8,295639637790167040,547197298,awww ait you are lovely,0,0
4_0,295944137948151809,1109500842,a photo of black nurses saving the life of a kkk member . <url>,1998,1393
4_1,295945613428797441,237572596,<url> medical emergency <url>,0,1
4_2,295946290129420290,361205082,that is an amazing picture .,0,0
4_3,295951603779903488,409548794,super pic should be put on billboard .. saying ' we all bleed the same color ',1,2
4_4,295953717704921088,91178140,this was proven to be fake,0,0
4_5,295955000155336705,22369295,it ’ s an advert . <url>,0,0
